阿胶	［同］驴皮胶 
落实	［同］踏实 笃定 安稳 
落实政策	［同］实现 诺言兑现 贯彻方针 
落拓	［同］潦倒 坎坷 落泊 
落网	［同］就擒 被擒 束手就擒 被捕 
落伍1	［同］掉队 退化 退步 落后 
落伍2	［同］落后 后进 
落下	［同］落 掉 掉落 堕 
落选	［反］当选 中选 入选 
落雪	［同］雪花飘飘 大雪纷飞 下雪 飘雪 
落扬	［同］登场 摊场 碾场 扬扬 
落叶树	［反］常绿树 
落雨	［同］降水 闹天儿 下雨 降雨 
落在后面	［同］掉队 殿后 排尾 
落葬	［同］安葬 埋葬 下葬 土葬 
落照	［同］残照 夕照 斜晖 余晖 
落子1	［同］莲花落 
落子2	［同］评剧 蹦蹦儿戏 
落座	［同］就座 入座 
洛阳花	［同］牡丹 花王 富贵花 
络	［同］绕 
络丝娘	［同］纺织娘 莎鸡 络纬 
络纬	［同］络丝娘 纺织娘 莎鸡 
麻	［同］麻木 发麻 酥麻 麻痹 ［反］光 
麻痹1	［同］麻 麻木 发麻 酥麻 
麻痹2	［同］松懈 松驰 松散 涣散 
麻痹大意	［反］常备不懈 居安思危 
麻布1	［同］花布 印花布 麻布 夏布 
麻布2	［同］夏布 麻布 花布 印花布 
麻烦	［同］烦劳 劳神 费事 劳驾 
麻花	［同］萨其马 锅贴儿 烧卖 薄脆 
麻酱	［同］芝麻酱 
麻麻黑	［反］麻麻亮 
麻麻亮	［同］蒙蒙亮 ［反］麻麻黑 
麻木	［同］发麻 酥麻 麻痹 麻 
麻纱	［同］泡泡纱 洋布 细布 府绸 
麻绳	［同］草绳 尼龙绳 塑料绳 铁索 
麻药	［同］栓剂 坐药 麻醉剂 蒙药 
麻衣	［同］重孝 丧服 孝服 孝衣 
麻油	［同］香油 芝麻油 
麻醉	［同］毒害 流毒 荼毒 蛊惑 
麻醉剂	［同］蒙药 麻药 栓剂 坐药 
麻枥	［同］构栎 
码1	［同］码子 数码 号码 号 
码2	［同］起 宗 桩 件 
码头	［同］埠 船埠 埠头 
码子1	［同］筹码 筹 
码子2	［同］数码 号码 号 码 
码子3	［同］现款 现钱 现金 现钞 
蚂蚁	［同］蚍蜉 蚁 
蚂蚱	［同］蝗 尖头蝗 蝗蝻 蝗虫 
蚂螂	［同］蜻蜓 
马大哈	［同］糊涂虫 糊涂蛋 
马到成功	［同］水到渠成 成功 成 
马丁炉	［同］平炉 高炉 炼铁炉 鼓风炉 
马革裹尸	［同］肝脑涂地 杀身成仁 舍生取义 以身许国 
马号	［同］短号 圆号 军号 小号 
马赫主义	［同］经验批判主义 
马虎	［同］含糊 草率 潦草 草草 ［反］认真 实在 
马甲	［同］坎肩 号坎儿 半臂 背心 
马脚	［同］尾巴 漏洞 漏子 破绽 
马裤	［同］短裤 长裤 
马赛克	［同］瓷砖 
马上	［同］立刻 即刻 立时 即时 
马熊	［同］棕熊 狗熊 黑熊 黑瞎子 
马靴1	［同］皮靴 雨靴 靴 靴子 
马靴2	［同］皮靴 雨靴 毡靴 靴子 
骂	［同］破口大骂 痛骂 
骂架	［同］相骂 对骂 
骂名	［同］丑名 臭名 
骂人话	［同］詈词 谇语 
嘛	［同］哟 吧 啊 啵 
吗	［同］呢 吧 乎 啊 
埋	［同］掩埋 埋藏 埋葬 葬埋 
埋藏	［同］埋葬 葬埋 埋 掩埋 
埋伏1	［同］打埋伏 设伏 伏击 
埋伏2	［同］打埋伏 隐伏 匿伏 潜伏 
埋没	［同］湮没 湮灭 
埋头苦干	［同］奋起真追 奋发图强 发奋图强 艰苦奋斗 
埋怨	［同］抱怨 怨天尤人 怨声载道 民怨沸腾 
埋葬1	［同］下葬 土葬 落葬 安葬 
埋葬2	［同］葬埋 埋 掩埋 埋藏 
买1	［同］购 购置 置备 置办 ［反］卖 售 
买2	［同］购 置 贩 打 
买方	［反］卖方 
买价	［反］卖价 
买酒	［同］打酒 
买客	［反］卖客 
买脸	［同］卖名 沽名 买名 买誉 
买卖	［同］商业 商 生意 
买名	［同］买誉 买脸 卖名 沽名 
买票	［反］售票 卖票 
买誉	［同］买脸 卖名 沽名 买名 
买主	［同］顾客 主顾 顾主 ［反］卖主 
麦克风	［同］发话器 话筒 送话器 传声器 
麦苗	［同］壮苗 花苗 树苗 禾苗 
麦收	［同］夏收 抢收 
麦牙糖	［同］糖果 糖 饴糖 饴 
卖1	［同］客 份 
卖2	［同］售 特价而沽 出卖 贩卖 ［反］买 
卖呆	［同］发痴 出神 木然 傻眼 
卖方	［反］买方 
卖风流	［同］搔头弄姿 卖俏 
卖功	［同］表功 
卖狗皮膏药	［同］自诩其能 自卖自夸 自吹自擂 
卖乖	［同］卖弄聪明 自作聪明 
卖国	［反］爱国 
卖国求荣	［同］投敌 出卖 卖身投靠 认贼作父 
卖国贼	［同］国贼 民贼 奸贼 贼子 
卖国主义	［反］爱国主义 
卖价	［反］买价 
卖客	［反］买客 
卖老	［同］倚老卖老 摆老资格 
卖名	［同］沽名 买名 买誉 买脸 
卖弄	［同］卖嘴 咋呼 搬弄 表现 
卖弄聪明	［同］自作聪明 卖乖 
卖票	［反］买票 
卖票员	［同］售票员 
卖俏	［同］卖风流 搔头弄姿 
卖傻	［同］装疯卖傻 装疯 装傻 
卖身	［同］倚门卖笑 卖淫 卖笑 
卖身投靠	［同］认贼作父 卖国求荣 投敌 出卖 
卖完	［同］销售一空 售完 
卖笑	［同］卖身 倚门卖笑 卖淫 
卖淫	［同］卖笑 卖身 倚门卖笑 
卖友求荣	［同］吃里爬外 叛卖 出卖 
卖主	［反］买主 
卖嘴	［同］咋呼 搬弄 表现 卖弄 
卖座率	［同］票房价值 
迈	［同］跨 
迈进1	［同］渐进 奋进 跃进 
迈进2	［同］进 上 向前 前进 
脉络1	［同］经络 骨髓 神经 经脉 
脉络2	［同］伦次 系统 眉目 条理 
脉脉传情	［同］眉来眼去 暗送秋波 传情 眉目传情 
馒首1	［同］包子 
馒首2	［同］馍 卷子 馒头 包子 
馒头1	［同］包子 馒首 馍 卷子 
馒头2	［同］卷子 
蛮不讲理	［反］通情达理 
蛮缠	［同］歪缠 缠磨 软磨 纠缠 
蛮横	［同］强横 霸道 跋扈 横暴 
蛮横无理	［反］通情达理 
满1	［同］满登登 满满当当 ［反］谦 
满2	［同］满足 知足 
满3	［同］盈 载 
满登登	［同］满满当当 满 ［反］空落落 空荡荡 
满地	［同］遍地 扑地 匝地 
满腹经纶	［同］满腹珠玑 博闻强记 学富五车 才高八斗 ［反］胸无点墨 
满腹珠玑	［同］博闻强记 学富五车 才高八斗 满腹经纶 
满坑满谷	［同］漫山遍野 遮天盖地 铺天盖地 
满满当当	［同］满 满登登 ［反］空空荡荡 
满面春风	［反］垂头丧气 灰心丧气 
满面泪痕	［同］泪痕斑斑 
满目	［同］弥望 满眼 
满腔热忱	［同］古道热肠 急人之难 急人所急 
满身	［同］全身 浑身 一身 通身 
满身铜臭	［同］见钱眼开 财迷心窍 爱财如命 
满堂红	［同］紫薇 
满天星斗	［同］星汉灿烂 月明星稀 
满眼	［同］满目 弥望 
满意	［同］惬意 乐意 中意 合意 ［反］不满 
满月	［同］圆月 团月 望月 ［反］朔月 新月 
满载而归	［反］一无所得 
满足1	［同］一饱眼福 
满足2	［同］知足 满 
满座	［同］客满 座无虚席 
曼延曲折	［同］绵延千里 逶迤 迤逦 连绵起伏 
慢	［同］缓 缓慢 舒缓 徐徐 ［反］快 
慢步	［反］快步 疾步 
慢车	［反］快车 
慢道	［同］慢是 别说 休说 休道 
慢惊风	［反］急惊风 
慢凉风	［同］惊风 
慢慢	［同］逐渐 逐步 渐渐 ［反］快快 
慢慢腾腾	［反］急急忙忙 匆匆忙忙 
慢慢悠悠	［反］急急忙忙 匆匆忙忙 
慢坡	［反］陡坡 
慢是	［同］别说 休说 休道 慢道 
慢腾腾	［同］慢悠悠 慢条斯理 ［反］急急忙忙 匆匆忙忙 
慢条斯理	［同］慢腾腾 慢悠悠 ［反］急急忙忙 匆匆忙忙 
慢吞吞	［反］急乎乎 急冲冲 急巴巴 
慢性	［反］急性 
慢性病	［反］急性病 
慢性子	［同］肉脾气 
慢性子	［反］急性子 
慢悠悠	［同］慢条斯理 慢腾腾 ［反］急急忙忙 匆匆忙忙 
慢走1	［同］不送 
慢走2	［同］留步 
慢走3	［同］踱 缓步 款步 彳亍 
漫	［同］漾 泛滥 溢 
漫笔	［同］随笔 
漫不经心	［同］掉以轻心 丢三落四 潦草塞责 虚应故事 
漫步	［同］信步 信马由缰 
漫长	［同］修长 漫漫 修 长 
漫画	［同］卡通 
漫骂	［同］笑骂 辱骂 诟骂 谩骂 
漫漫	［同］修 长 漫长 修长 
漫山遍野	［同］遮天盖地 铺天盖地 满坑满谷 
漫谈	［同］纵谈 密谈 密语 闲语 
漫天要价	［同］狮子大开口 要谎 
漫无边际	［同］茫无涯际 
漫游	［同］畅游 游山玩水 云游四海 湖海浪游 
谩骂	［同］漫骂 笑骂 辱骂 诟骂 
茫茫1	［同］荡荡 莽莽 漠漠 恢恢 
茫茫2	［同］模糊 朦胧 莽苍 迷茫 
茫然	［同］发蒙 没谱儿 不解 不详 
茫然不解	［同］隔行如隔山 不得要领 雾里看花 大惑不解 
茫然失措	［同］失魂落迫 惊魂未定 不知所措 张慌失措 
茫无涯际	［同］漫无边际 
盲	［同］瞎 失明 丧明 
盲肠炎	［同］阑尾炎 
盲目	［反］自觉 
盲文	［同］盲字 点字 
盲字	［同］点字 盲文 
忙	［反］闲 
忙季	［同］闲季 
忙里偷闲	［同］抽空 偷空 偷闲 瞅空 
忙碌	［反］轻闲 清闲 悠闲 安闲 闲散 
忙人	［反］闲人 
莽苍	［同］迷茫 茫茫 模糊 朦胧 
莽莽	［同］漠漠 恢恢 茫茫 荡荡 
莽撞	［同］冒失 冒昧 轻率 鲁莽 ［反］慎重 郑重 
莽撞话	［同］冒昧话 
猫哭老鼠	［同］鳄鱼眼泪 巧言令色 阳奉阴违 唯唯否否 
猫鼠同眠	［同］官官相护 贿赂公行 
猫头鹰	［同］夜猫子 枭 
猫熊	［同］大熊猫 大猫熊 小熊猫 熊猫 
茅塞顿开	［同］豁然贯通 豁然开朗 顿开茅塞 
茅屋土舍	［反］深宅大院 
毛1	［同］糙 毛糙 粗糙 
毛2	［同］寒毛 汗毛 绒毛 毳 
毛白杨	［同］响杨 白杨 大叶杨 
毛笔	［同］毛颖 毫 水笔 
毛边	［同］毛头纸 东昌纸 毛边纸 
毛边纸	［同］毛边 毛头纸 东昌纸 
毛病1	［同］疾病 病症 病魔 病痛 ［反］优点 
毛病2	［同］私弊 情弊 藏掖 阴私 
毛病3	［同］罪过 罪愆 罪尤 
毛布	［同］大布 土布 老布 粗布 
毛糙1	［同］粗糙 毛 糙 
毛糙2	［同］粗陋 粗劣 粗 粗糙 
毛利	［反］净利 纯利 
毛利	［同］厚利 重利 暴利 余利 
毛料	［同］衣料 匹头 料子 
毛毛雨	［同］牛毛雨 蒙松雨 烟雨 小雨 
毛呢	［同］呢绒 呢子 呢 
毛票	［同］角票 
毛钱儿	［同］角子 银角子 毫子 小洋 
毛手毛脚	［同］没头没脑 粗枝大叶 
毛遂自荐	［同］自荐 
毛毯	［同］绒毯 毯子 床毯 毯 
毛头纸	［同］东昌纸 毛边纸 毛边 
毛细血管	［同］微血管 血脉 血管 
毛样	［同］红样 校样 大样 小样 
毛衣	［同］线衣 
毛颖	［同］毫 水笔 毛笔 
毛重	［反］净重 
毛装	［同］精装 平装 线装 洋装 
矛	［反］盾 
矛盾1	［同］抵触 抵牾 抵忤 乖忤 
矛盾2	［同］嫌隙 隙 嫌 分歧 
铆劲	［同］使劲 用劲 下劲 加劲 
茂齿	［同］壮年 中年 盛年 茂年 
茂密	［同］森然 森森 扶疏 葳蕤 
茂年	［同］茂齿 壮年 中年 盛年 
茂盛	［同］旺盛 丰茂 蔚然 繁茂 
冒充	［同］假冒 假充 混充 作假 
冒出	［同］涌出 出现 现出 长出 
冒犯	［同］触犯 冲犯 得罪 开罪 
冒昧	［同］轻率 鲁莽 莽撞 冒失 
冒昧话	［同］莽撞话 
冒名	［同］假托 伪托 假借 招摇撞骗 
冒牌货	［同］假货 赝品 赝鼎 
冒失	［同］冒昧 轻率 鲁莽 莽撞 ［反］慎重 郑重 
冒险	［同］蹈虎穴 
冒烟	［同］烟雾腾腾 浓烟滚滚 烟雾弥漫 烟雾漠漠 
帽1	［同］帽子 冠 笠 瓜皮帽 
帽2	［同］帽子 冠 笠 盔 
帽耳	［同］帽盔 帽舌 帽檐 
帽花	［同］帽徽 
帽徽	［同］帽花 
帽盔	［同］帽舌 帽檐 帽耳 
帽舌	［同］帽檐 帽耳 帽盔 
帽子1	［同］冠 笠 瓜皮帽 帽 
帽子2	［同］冠 笠 盔 帽 
帽子3	［同］罪名 
帽檐	［同］帽耳 帽盔 帽舌 
貌合神离	［同］离心离德 同床异梦 ［反］同心同德 一心一德 同心协力 戮力同心 同舟共济 风雨同舟 和衷共济 
貌似	［同］像 相似 相像 形似 
贸易	［同］交易 市 
贸易风	［同］信风 
么	［同］啊 啦 哪 哇 
梅	［同］含酸子 梅子 青梅 黄梅 
梅雨1	［同］黄梅 黄梅天 黄梅季 霉天 
梅雨2	［同］霉雨 淫雨 苦雨 黄梅雨 
梅子	［同］青梅 黄梅 梅 含酸子 
霉	［同］霉烂 发霉 
霉烂	［同］发霉 霉 
霉天	［同］梅雨 黄梅 黄梅天 黄梅季 
霉雨	［同］淫雨 苦雨 黄梅雨 梅雨 
煤黑	［同］雪白 乳白 银白 
煤炉	［同］煤球炉 
煤气	［同］石油气 天然气 
煤球炉	［同］煤炉 
煤油炉	［同］火油炉 洋油炉 
没	［同］没有 未曾 未尝 无 ［反］出 
没办法	［同］无计可施 束手无策 别无良策 无法 
没齿不忘	［反］置之不理 置之度外 置若罔闻 置之脑后 置身事外 
没出息	［同］不成材 不成器 
没底	［反］有底 
没关系	［同］没什么 不要紧 ［反］对不起 
没精打采	［同］懒散 蔫 蔫不唧 懒洋洋 ［反］神采奕奕 精神焕发 兴高采烈 
没救	［反］有救 
没落	［同］败落 破落 中落 衰落 ［反］兴起 
没门儿	［反］有门儿 
没谱	［同］不解 不详 茫然 发蒙 
没谱儿	［反］有数 
没什么	［同］不要紧 没关系 
没世	［同］终天 百年 一生一世 
没收	［同］充公 ［反］退还 
没头没脑	［同］粗枝大叶 毛手毛脚 
没完没了	［同］无尽无休 
没羞	［同］不害羞 不害臊 脸皮厚 好意思 
没有1	［同］抵不上 不及 不如 不比 ［反］有 
没有2	［同］未曾 未尝 无 没 
没有3	［同］媳灭 破灭 灭 陨灭 
没辙	［反］有辙 
没着没落	［同］存亡未卜 未定之天 
眉	［同］眼眉 娥眉 眉毛 睫毛 
眉端	［同］眉心 印堂 眉头 眉梢 
眉飞色舞	［同］春风满面 开颜 面有喜色 喜形于色 ［反］愁眉不展 愁眉苦脸 
眉睫	［同］眉宇 
眉开眼笑	［同］喜眉笑眼 含笑 笑容满而 笑容可掬 ［反］愁眉不展 愁眉苦脸 
眉来眼去	［同］暗送秋波 传情 眉目传情 脉脉传情 
眉毛	［同］睫毛 眉 眼眉 娥眉 
眉目1	［同］条理 脉络 伦次 系统 
眉目2	［同］线索 头绪 条理 头脑 
眉目传情	［同］脉脉传情 眉来眼去 暗送秋波 传情 
眉批	［同］批注 
眉清目秀	［同］风仪秀整 明眸皓齿 冰肌玉骨 花容玉貌 ［反］口歪眼斜 其貌不扬 面目可憎 
眉梢	［同］眉端 眉心 印堂 眉头 
眉头	［同］眉梢 眉端 眉心 印堂 
眉心	［同］印堂 眉头 眉梢 眉端 
眉宇	［同］眉睫 
眉月	［同］残月 缺月 
每次	［同］每回 历次 回回 次次 
每回	［同］历次 回回 次次 每次 
每况愈下	［同］蒸蒸日上 欣欣向荣 
每年	［同］年年 
美	［反］丑 
美差	［同］金饭碗 
美称	［同］佳名 英名 美名 令名 
美德	［同］懿德 馨德 贤德 令德 
美吨	［同］盎司 磅 英吨 
美发厅	［同］美容室 理发店 理发馆 理发厅 
美观	［同］美丽 漂亮 好看 悦目 
美好	［同］有希望 有前途 光明 ［反］丑恶 
美化	［同］吹嘘 鼓吹 吹捧 标榜 ［反］丑化 
美景	［同］好景 
美酒	［同］好酒 旨酒 醇酒 醇醪 
美丽	［同］漂亮 好看 悦目 美观 ［反］丑陋 
美貌1	［同］红颜 美颜 姿色 花容 
美貌2	［同］体面 柔美 如花 如玉 
美妙	［同］华美 优美 
美名1	［同］令名 美称 佳名 英名 ［反］臭名 
美名2	［同］盛名 高名 鸿名 大名 
美女	［同］美人 佳人 丽人 佼人 
美人	［同］佳人 丽人 佼人 美女 
美人计	［同］空城计 木马计 反间计 苦肉计 
美容	［同］打扮 装扮 妆饰 化妆 
美容室	［同］理发店 理发馆 理发厅 美发厅 
美食	［同］美味美肴 佳肴 珍馐 甘旨 
美术	［同］图画 画幅 画图 绘画 
美术课	［同］图画课 
美谈1	［同］好事 
美谈2	［同］佳话 
美味美肴	［同］佳肴 珍馐 甘旨 美食 
美言1	［同］拜托 求情 讨情 说项 
美言2	［同］口誉 口角春风 赞语 
美颜	［同］姿色 花容 美貌 红颜 
美意	［同］好心 善心 好意 善意 
美誉	［同］令名 令闻 名望 
美质	［同］蕙质 淑质 
寐	［反］寤 
妹	［同］阿妹 妹妹 妹子 女弟 
妹妹	［同］妹子 女弟 妹 阿妹 
妹子	［同］女弟 妹 阿妹 妹妹 
门当户对	［同］郎才女貌 
门第	［同］门户 出身 身家 家世 
门洞	［同］防空洞 桥孔 气孔 涵洞 
门对	［同］门联 
门房	［同］号房 传达 门子 门司 
门户	［同］出身 身家 家世 门第 
门户之见	［同］一孔之见 偏见 一偏之见 一偏之论 
门径	［同］蹊径 门路 途径 路径 
门可罗雀	［反］门庭若市 车马盈门 
门联	［同］门对 
门帘	［同］暖帘 湘帘 竹帘 苇帘 
门路	［同］途径 路径 门径 蹊径 
门面	［同］伪装 外衣 假面具 
门面话	［同］官话 官腔 
门票	［同］门券 入场券 
